study_id,study_token,study_type,study_path
SDY001,HighGA,biolector_simple,SDY001_HighGA_gradient_GA_test
SDY002,BMG,biolector_biomass,SDY002_BMG_biomass_G
SDY003,HighG,biolector_simple,SDY003_HighG_gradient_G
SDY004,BMA,biolector_biomass,SDY004_BMA_biomass_A
SDY005,LowG,biolector_simple,SDY005_LowG_gradient_G_low
SDY006,InocG,biolector_simple,SDY006_InocG_inoc_gradient_G
SDY007,HighA,biolector_simple,SDY007_HighA_gradient_A
SDY008,Z1WTf,biolector_simple,SDY008_Z1WTf_gradient_G_Z1andWT_failed
SDY009,Z1WT,biolector_simple,SDY009_Z1WT_gradient_G_Z1andWT
SDY010,MetabG,biolector_metabolites,SDY010_MetabG_metabolites_G
